Time (ms), PV cell voltage (mV), Biosensor current (nA)
171206,493.75,1188.5,
171408,489.75,1181.875,
171611,492.375,1192.875,
171814,493.25,1184.125,
172018,489.5,1185.375,
172221,493.375,1191.75,
172423,491,1181.375,
172627,490,1191.375,
172830,493.5,1190,
173045,489.75,1182,
173236,492.375,1192.125,
173439,493.375,1183,
173641,489.5,1185.375,
173845,493.125,1193.375,
174048,491.125,1182.75,
174251,489.875,1191,
174454,493.625,1189,
174658,489.875,1181.5,
174861,492.125,1192.625,
175064,493.375,1184.625,
175266,489.5,1185.5,
175470,493.375,1192.5,
175673,491.375,1181.625,
175877,489.75,1190.75,
176079,493.625,1190.875,
176283,489.875,1182.5,
176485,492,1192.25,
176688,493.5,1183.5,
176892,489.375,1184.25,
177095,493.25,1192.875,
177299,491.25,1182.875,
177501,489.75,1191.125,
177704,493.625,1190.125,
177907,490,1181,
178110,491.75,1191.875,
178313,493.5,1185.125,
178517,489.5,1184.25,
178719,493.125,1192.5,
178923,492.125,1181.625,
179126,489.5,1189.25,
179329,493.5,1191.125,
179532,490,1182.25,
179735,491.125,1191.75,
179939,493.625,1185.125,
180141,489.5,1182.25,
180345,492.875,1192,
180547,492.625,1182.875,
180750,489.5,1189.25,
180953,493.5,1192,
181157,490.5,1181.125,
181359,490.625,1191,
181563,493.625,1187,
181767,489.75,1182.875,
181969,492.75,1192.625,
182172,492.875,1182.375,
182376,489.5,1187.125,
182579,493.5,1192,
182781,490.5,1181.75,
182985,490.25,1191.5,
183188,493.625,1188.625,
183390,489.75,1181.375,
183594,492.5,1191.875,
183797,493.25,1183.25,
184001,489.375,1186.25,
184203,493.375,1192.875,
184406,490.875,1181.375,
184609,489.875,1190.125,
184812,493.625,1189.25,
185016,489.875,1182.125,
185219,492.25,1192.875,
185422,493.5,1184,
185625,489.5,1184.125,
185828,493.25,1192.25,
186031,491.625,1182.25,
186234,489.625,1190.5,
186436,493.625,1191.125,
186640,490,1181.375,
186844,491.625,1191.375,
187047,493.625,1184.625,
187250,489.5,1184.125,
187452,493.125,1193.125,
187656,492.375,1182.5,
187860,489.5,1189,
188063,493.625,1190.875,
188266,490.25,1182,
188469,490.875,1192.375,
188671,493.625,1186,
188875,489.5,1182.5,
189081,492.875,1191.875,
189281,492.875,1182.5,
189484,489.375,1188.5,
189707,493.5,1192.75,
189890,490.5,1181.75,
190094,490.375,1190.875,
190314,493.625,1187.875,
190500,489.75,1181.875,
190702,492.375,1192.625,
190906,493.25,1183.625,
191109,489.5,1184.625,
191311,493.375,1191.875,
191516,491.5,1181.875,
191718,489.625,1190.5,
191921,493.625,1191.125,
192125,490.125,1181.375,
192328,491,1191,
192531,493.75,1185.625,
192734,489.75,1182.125,
192937,492.75,1192.875,
193140,493.125,1183.375,
193343,489.5,1186.125,
193547,493.375,1191.75,
193749,491,1181.625,
193953,489.875,1191.25,
194156,493.625,1190.25,
194358,489.875,1181.25,
194562,491.875,1191.625,
194764,493.625,1183.875,
194968,489.5,1183.875,
195171,493.125,1193.125,
195374,492.375,1182.5,
195577,489.5,1189.125,
195780,493.625,1190.75,
195983,490.25,1181.5,
196186,490.75,1192.375,
196390,493.625,1186.75,
196593,489.625,1182.125,
196796,492.75,1191.875,
197017,493,1182.625,
197201,489.375,1187.5,
197405,493.375,1193.125,
197608,490.75,1182,
197811,490,1190.625,
198014,493.625,1188.375,
198218,489.75,1181.875,
198421,492.375,1192.875,
198623,493.25,1184,
198826,489.375,1185.625,
199030,493.375,1191.75,
199232,490.875,1181.375,
199436,490,1191.25,
199638,493.625,1189.625,
199841,489.75,1181.875,
200045,492.375,1191.75,
200249,493.375,1182.75,
200451,489.375,1185.375,
200658,493.375,1192.875,
200857,491,1181.875,
201060,489.875,1190.125,
201265,493.625,1188.75,
201466,489.875,1181,
201670,492.25,1192.375,
201873,493.375,1184.125,
202076,489.375,1184.5,
202280,493.25,1191.875,
202486,491.25,1180.875,
202685,489.875,1190.5,
202888,493.5,1190.5,
203092,489.875,1181.625,
203298,492,1191.625,
203497,493.5,1183.125,
203701,489.5,1184.125,
203904,493.25,1192.75,
204108,491.625,1182.625,
204310,489.75,1190.125,
204513,493.5,1189.5,
204717,490,1180.75,
204920,491.875,1192,
205123,493.5,1184.625,
205326,489.375,1184.125,
205529,493.125,1191.875,
205732,491.75,1181,
205936,489.5,1189.5,
206138,493.625,1191.25,
206342,490,1181.625,
206545,491.25,1191.5,
206748,493.625,1183.75,
206951,489.5,1182.75,
207154,493.125,1192.625,
207357,492.125,1182.625,
207560,489.5,1189.375,
207763,493.5,1189.875,
207966,490.125,1180.75,
208169,491.625,1191.625,
208372,493.625,1184.5,
208576,489.5,1183.5,
208778,493.125,1191.625,
208982,492.125,1181.125,
209185,489.5,1189.125,
209387,493.625,1191,
209591,490,1181.75,
209794,491.375,1191.375,
209996,493.75,1184.125,
210201,489.5,1182.625,
210403,493.125,1192.25,
210607,492.25,1182.75,
210809,489.5,1189.5,
211013,493.625,1190.375,
211215,490.125,1180.625,
211419,491.125,1191.375,
211622,493.75,1185.5,
211825,489.5,1182.625,
212028,492.875,1191.875,
212232,492.5,1181.5,
212434,489.5,1188.25,
212637,493.5,1192,
212840,490.25,1182.125,
213044,490.5,1191.25,
213246,493.75,1186.25,
213450,489.75,1181.5,
213653,492.625,1192.5,
213856,493,1183.125,
214059,489.375,1186.75,
214262,493.375,1191.875,
214465,490.75,1180.625,
214668,490,1190.875,
214872,493.625,1188.625,
215075,489.625,1182.25,
215278,492.375,1192.125,
215481,493.25,1182.625,
215684,489.5,1186.125,
215887,493.25,1192.625,
216090,490.75,1182.125,
216292,490,1191.5,
216496,493.625,1188.125,
216699,489.75,1181.375,
216902,492.5,1192.5,
217105,493.125,1183.875,
217308,489.375,1187.75,
217511,493.375,1192.375,
217722,490.75,1181.125,
